City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,le vauclin,14.5452,-60.8388,298.06,88,100,3.09,MQ,1681025754
326,bondo,3.8146,23.6866,303.62,52,99,2.45,CD,1681025754
327,half moon bay,37.4636,-122.4286,285.3,84,0,4.63,US,1681025754
328,uyemskiy,64.4743,40.8524,279.18,56,0,1.0,RU,1681025754
329,tigil,57.8,158.6667,270.16,93,100,3.93,RU,1681025755
330,aksu,41.1231,80.2644,297.27,8,3,1.13,CN,1681025755
331,magadi,12.9667,77.2333,305.4,18,0,4.69,IN,1681025755
332,red bluff,40.1785,-122.2358,282.51,81,0,2.06,US,1681025755
333,rincon,32.296,-81.2354,282.51,94,100,5.14,US,1681025756
334,san carlos de bariloche,-41.1456,-71.3082,278.01,48,0,1.03,AR,1681025756
335,grindavik,63.8424,-22.4338,280.41,81,75,14.92,IS,1681025756
336,vidim,56.4088,103.1106,270.26,71,100,4.93,RU,1681025756
337,sola,-13.8833,167.55,301.8,71,26,4.77,VU,1681025757
338,kyra,49.5776,111.9753,279.71,49,100,5.29,RU,1681025757
339,gogrial,8.5332,28.1004,309.7,27,33,3.3,SS,1681025757
340,polis,35.0367,32.4264,291.05,45,100,1.94,CY,1681025758
341,pringsewu,-5.3582,104.9744,301.3,83,100,1.5,ID,1681025758
342,padang,-0.9492,100.3543,303.18,75,100,2.38,ID,1681025758
343,yanam,16.7333,82.2167,308.45,34,0,3.54,IN,1681025716
344,hervey bay,-25.2986,152.8535,298.29,46,0,4.48,AU,1681025626
345,miraflores,19.2167,-98.8083,290.39,60,99,1.06,MX,1681025759
346,kalmar,56.6616,16.3616,281.56,65,97,3.6,SE,1681025759
347,mozelos,41.8677,-8.3978,288.84,57,20,0.73,PT,1681025760
348,chumphon,10.3333,98.8333,307.3,35,73,3.8,TH,1681025760
349,nova soure,-11.2333,-38.4833,296.6,91,77,2.41,BR,1681025760
350,katobu,-4.9408,122.5276,302.02,69,53,4.09,ID,1681025760
351,carnarvon,-24.8667,113.6333,297.39,53,5,7.4,AU,1681025761
352,pontes e lacerda,-15.2261,-59.3353,293.94,98,94,1.26,BR,1681025761
353,trincomalee,8.5711,81.2335,301.87,68,2,4.44,LK,1681025761
354,severo-kurilsk,50.6789,156.125,275.26,98,100,4.93,RU,1681025761
355,byron bay,-28.65,153.6167,296.32,39,0,6.46,AU,1681025750
356,benavente,42.0025,-5.6783,286.29,48,30,1.26,ES,1681025763
357,toucheng,24.8592,121.8233,297.12,61,93,3.23,TW,1681025763
358,la ronge,55.1001,-105.2842,275.29,75,20,2.57,CA,1681025764
359,sibolga,1.7427,98.7792,301.49,77,100,1.31,ID,1681025764
360,tromso,69.6496,18.957,278.36,81,75,1.54,NO,1681025764
361,beisfjord,68.3751,17.5988,278.18,93,66,1.09,NO,1681025765
362,port-gentil,-0.7193,8.7815,299.13,100,20,1.54,GA,1681025765
363,nuevo progreso,23.1667,-97.95,292.3,71,100,1.59,MX,1681025765
364,tessalit,20.1986,1.0114,298.09,17,100,5.65,ML,1681025766
365,guozhen,34.3659,107.359,297.71,38,100,0.76,CN,1681025766
366,saint-joseph,-21.3667,55.6167,301.36,77,100,4.18,RE,1681025767
367,oktyabrskiy,54.4815,53.471,282.48,30,6,0.66,RU,1681025767
368,ribeira grande,38.5167,-28.7,289.69,94,40,6.17,PT,1681025767
369,katsuura,35.1333,140.3,286.21,53,1,5.85,JP,1681025767
370,port blair,11.6667,92.75,305.17,62,20,3.09,IN,1681025768
371,campbellsville,37.3434,-85.3419,277.69,39,0,0.45,US,1681025768
372,kapchorwa,1.3965,34.4509,296.86,40,98,3.26,UG,1681025769
373,mackenzie,55.2999,-123.1698,277.27,70,100,3.09,CA,1681025769
374,miyako,39.6367,141.9525,282.04,49,1,4.41,JP,1681025769
375,norman wells,65.282,-126.8329,268.17,80,20,3.09,CA,1681025770
376,muros,42.7762,-9.0603,284.31,90,100,1.29,ES,1681025770
377,caraquet,47.7941,-64.9386,265.45,87,15,3.13,CA,1681025770
378,tamworth,52.634,-1.6959,280.89,92,93,3.41,GB,1681025529
